name,Result,gpa,lsat,urm,we,day_sent,Sent,complete,UR,JJ,Decision,accepted,we_0,we_1_4,we_5_9,we_10,we_B
VagabondHushedRay,Rejected,3.62,170,0,1-4 years,103,12/27/2020,1/7/2021,,,2/9/2021,0,0,1,0,0,1
VagueExcitedArmadillo,Waitlisted,3.99,171,0,0 years (KJD),,,,,,,0,1,0,0,0,0
ValuableInvincibleChinook,Rejected,3.87,164,0,0 years (KJD),,,,,,1/14/2021,0,1,0,0,0,0
vampireweekend,"Accepted, Attending",3.91,175,1,0 years (KJD),,,10/14/2020,,11/12/2020,1/11/2021,1,1,0,0,0,0
VanityPlateRejectPile,Rejected - FW,3.3,176,0,5-9 years,,,,,,4/5/2021,0,0,0,1,0,1
VastNutritiousSquirrel,"WL, Accepted, Attending",3.71,169,1,1-4 years,63,11/17/2020,11/20/2020,,5/6/2021,5/19/2021,1,0,1,0,0,1
VenomousDemonicTurtle,Rejected,3.91,173,0,1-4 years,40,10/25/2020,10/28/2020,,,3/15/2021,0,0,1,0,0,1
VenomousFastEmu,Rejected - FW,3.75,167,1,1-4 years,,,12/8/2020,,,,0,0,1,0,0,1
VenteIcedAmericano,Rejected,3.98,168,0,1-4 years,,,,,,,0,0,1,0,0,1
Venturethedog,Rejected,3.73,166,0,1-4 years,17,10/2/2020,10/7/2020,,,1/14/2021,0,0,1,0,0,1
verticalpizza,Withdrawn,3.79,172,0,1-4 years,23,10/8/2020,10/13/2020,,,,0,0,1,0,0,1
Vertighost,Rejected,3.4,171,0,1-4 years,,,,,,,0,0,1,0,0,1
Vfam,Rejected,3.47,168,0,1-4 years,109,1/2/2021,,,,2/9/2021,0,0,1,0,0,1
VioletCardigans,Rejected,3.76,167,0,1-4 years,48,11/2/2020,,,,1/14/2021,0,0,1,0,0,1
VioletNoisyTropicbird,Rejected,3.85,171,0,0 years (KJD),5,9/20/2020,9/30/2020,,,1/14/2021,0,1,0,0,0,0
VioletSadUmbrellabird,Rejected,3.82,176,0,?,89,12/13/2020,12/18/2020,,,3/15/2021,0,,,,,
virginiasplitter,Rejected,3.6,174,0,0 years (KJD),,,,,,1/14/2021,0,1,0,0,0,0
